ShortIndustry,Industry,IssuedbyOrganization,Issued for Organization,Title,Tender No,ProcurementMethod,Issued Date,Amendments,ClosingDate,SuccessfulVendor,SuccessfulVendorCity,AwardTotal,DateAwarded,Province,Country,IssuedYr,ClosingYr,AwardedYr,IssuedMon,ClosingMon,AwardedMon
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",GEO-SlopeW Software,ITQ-003460,Itq,2011-11-01,0,2011-11-09,Software House International Inc,North Vancouver,"$40,620.84",2012-01-04,British Columbia,Canada,2011,2011,2012,11,11,1
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,12m Portable All-Steel Bridge - Quesnel,ITQ-003483,Itq,2011-12-20,0,2012-01-03,Pacific Industrial & Marine Ltd,Duncan,"$57,868.16",2012-01-04,British Columbia,Canada,2011,2012,2012,12,1,1
BUSS,"Business, Finance, and Admin",Procurement Services Branch,Ministry of Finance,IBM Content Manager Software Subscription & Support Renewal,ITQ-003484,Itq,2011-12-21,0,2012-01-03,Softchoice Corp,Toronto,"$87,695.80",2012-01-04,Ontario,Canada,2011,2012,2012,12,1,1
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Bentley Culvert Master Software,ITQ-003461,Itq,2011-11-01,0,2011-11-09,Bentley Systems Inc,Exton,"$8,702.40",2012-01-05,Pennsylvania,USA,2011,2011,2012,11,11,1
GovLAW,Government and Law,Procurement Services Branch,Ministry of Justice (Attorney General),"47"" Televisions & 22"" Monitors",ITQ-003477,Itq,2011-12-13,0,2011-12-21,341234 BC Ltd,Burnaby,"$35,771.84",2012-01-05,British Columbia,Canada,2011,2011,2012,12,12,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushed Aggregate in Stockpile Saunders Pit No. 0320,23216MN0000,MOTITT,2011-12-14,0,2011-12-29,Cantex-Okanagan Construction Ltd,Penticton,"$101,600.00",2012-01-06,British Columbia,Canada,2011,2011,2012,12,12,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Site Preparation - Clearing,23159MJ0001,MOTITT,2011-12-09,0,2011-12-23,Wiltech Developments Inc,Westbank,"$182,389.84",2012-01-09,British Columbia,Canada,2011,2011,2012,12,12,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 101 Sechelt Shoulder Widening,12367MJ2012,MOTITT,2011-12-05,0,2012-01-05,Capilano Highway Services Company,West Vancouver,"$889,601.50",2012-01-12,British Columbia,Canada,2011,2012,2012,12,1,1
GovLAW,Government and Law,Procurement Services Branch,Ministry of Public Safety and Solicitor General,Kofax Enterprise Image Software,ITQ-003489,Itq,2012-01-03,0,2012-01-11,CDIT Inc,Toronto,"$35,981.03",2012-01-12,Ontario,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of BC Hydro Ducting and Chamber works,03901MJ0002,MOTITT,2011-12-23,4,2012-01-04,Pedre Contractors Ltd,Langley,"$2,245,050.00",2012-01-16,British Columbia,Canada,2011,2012,2012,12,1,1
